CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
616,Germany,Male,36,4,81493.82,2,0,1,146449.5,0
737,France,Female,25,5,160786.83,2,1,1,161631.71,0
673,Spain,Female,47,8,2253.36,1,1,1,61279.58,0
820,Spain,Female,34,3,0.0,1,1,0,168659.87,0
713,France,Male,36,9,233035.37,1,1,0,88922.3,1
518,France,Female,35,3,210615.26,2,1,1,196085.62,0
587,Germany,Male,54,1,0.0,2,1,1,118253.3,0
592,France,Female,40,8,173455.02,3,0,1,125184.48,0
679,France,Male,41,7,172954.97,1,1,1,183875.21,0
621,France,Female,35,3,98455.7,3,0,0,190196.37,1
543,Spain,Female,45,7,153089.28,3,1,0,13352.8,1
706,Germany,Male,55,8,198006.32,2,1,1,54166.96,0
745,Germany,Male,47,8,0.0,2,1,1,126706.56,0
640,Spain,Male,48,10,0.0,1,1,0,10686.74,0
670,France,Female,47,9,123796.72,1,1,1,70330.75,0
558,Germany,Female,25,4,110364.55,1,1,0,47299.64,0
600,France,Female,30,2,105760.93,1,1,0,109460.65,0
604,France,Male,38,1,117046.84,1,1,1,123489.49,0
703,Germany,Male,32,6,0.0,2,1,0,45912.75,1
674,France,Male,28,7,0.0,1,1,0,111913.48,0
619,Germany,Female,19,7,129778.76,1,1,1,85377.9,0
615,Spain,Female,25,0,0.0,1,0,1,198282.75,0
463,Germany,Male,37,7,61324.08,2,1,0,22369.53,1
803,Germany,Male,39,8,80432.99,3,1,1,169730.19,1
452,Germany,Female,31,7,118580.64,1,1,0,199901.39,0
690,France,Female,41,5,68284.32,2,0,1,112902.43,0
654,France,Male,35,0,154185.61,3,1,1,139308.79,0
625,France,Female,52,5,0.0,2,1,0,34309.98,1
649,France,Male,38,7,164463.43,2,1,0,76656.2,1
587,France,Male,48,6,71781.4,2,1,0,44483.04,1
712,Spain,Male,42,6,0.0,3,1,1,120830.95,1
525,France,Female,25,5,164074.98,1,0,0,188996.96,0
681,France,Female,39,6,111757.61,2,1,1,15622.79,0
586,France,Male,26,3,94469.11,1,1,0,103944.77,0
609,France,Female,39,6,141330.35,1,1,1,147475.87,0
612,Germany,Female,32,3,139395.36,2,1,0,91817.83,0
634,Germany,Female,44,5,39700.29,2,1,0,112385.24,1
698,Spain,Female,25,4,177001.55,2,1,1,96065.05,1
647,Germany,Male,40,7,83658.84,3,1,1,123523.11,0
739,France,Male,46,9,0.0,2,1,1,23029.78,0
749,Spain,Male,50,6,35655.47,2,1,0,113891.0,0
679,France,Male,32,1,121504.74,3,1,0,107238.24,0
715,France,Male,40,7,0.0,1,1,0,44552.45,1
842,France,Male,42,3,0.0,1,0,1,111602.63,0
516,Germany,Female,57,0,139226.81,1,1,1,97998.36,1
752,France,Male,24,2,4955.27,2,1,1,122703.58,0
797,France,Male,30,10,89833.32,2,1,1,117126.82,0
691,Germany,Male,71,4,162422.32,2,0,0,86871.8,1
831,France,Male,37,2,77438.13,1,1,1,158415.58,0
819,Germany,Female,19,1,58005.82,2,1,1,77916.63,0
618,France,Female,34,7,0.0,2,1,1,100162.08,0
625,France,Male,18,8,0.0,3,0,1,91017.93,0
700,France,Female,43,3,83936.9,1,0,0,102315.72,1
591,Germany,Female,49,1,0.0,2,1,1,162034.75,1
850,France,Female,30,3,44301.51,2,0,0,144835.69,0
725,France,Male,35,7,81100.42,2,1,1,18025.2,0
654,France,Female,50,1,150055.24,1,0,0,103969.89,1
516,Spain,Female,21,2,0.0,1,1,1,33703.22,0
674,Spain,Female,25,0,197318.05,1,0,0,148575.15,0
537,Germany,Male,37,5,93723.93,2,0,1,197471.92,0
722,France,Female,32,1,150475.42,2,0,0,127572.39,1
412,Spain,Male,37,2,150366.63,2,1,0,82173.68,0
781,Spain,Male,26,1,97081.03,2,1,0,23739.71,0
610,Germany,Female,42,8,80091.37,1,1,0,73188.16,0
489,France,Female,38,5,102765.84,1,1,1,109805.4,0
648,France,Male,46,10,142059.58,2,1,1,177363.11,0
652,France,Female,42,4,53705.91,2,1,0,107468.76,1
644,Spain,Female,42,2,42430.55,2,1,0,197041.99,1
781,France,Female,24,2,182178.54,2,1,1,80141.63,0
686,France,Male,45,10,66787.54,3,0,1,10093.36,0
726,France,Male,36,6,123412.36,3,1,1,129438.8,0
626,Germany,Female,38,3,0.0,2,1,0,51636.43,0
691,France,Female,52,7,96790.99,1,1,1,56319.08,0
526,Spain,Female,32,6,0.0,1,1,0,13310.31,0
675,Spain,Female,55,1,100571.2,2,1,1,110979.73,1
578,Germany,Female,56,7,86445.04,1,1,0,57026.48,1
775,France,Female,48,1,90974.79,1,1,1,198915.15,0
657,Germany,Male,29,2,78820.16,1,1,1,168774.84,0
713,Germany,Female,18,7,70155.28,3,0,0,147026.11,0
675,Germany,Male,52,4,79028.76,1,1,0,77239.4,0
822,France,Female,41,2,191486.93,2,1,0,23603.46,1
502,France,Male,32,0,0.0,2,0,0,137099.14,1
639,France,Female,53,6,87049.78,2,0,1,14237.29,0
559,France,Male,31,7,156046.09,1,1,1,93904.17,0
455,France,Male,35,2,22465.92,2,1,1,20026.36,0
553,France,Male,46,4,176535.27,2,1,1,116344.48,0
761,France,Male,28,3,172348.1,1,1,0,116312.95,0
647,Germany,Female,39,9,0.0,2,1,0,110816.97,0
629,France,Male,52,8,157600.67,1,1,1,145771.55,0
723,Spain,Female,42,3,127736.2,2,1,0,53349.51,0
661,Germany,Female,54,5,172139.3,2,1,1,56012.0,0
708,France,Female,52,10,72457.91,2,0,1,89071.03,0
681,Germany,Male,40,3,84438.34,3,1,1,143526.41,0
702,France,Male,18,1,101659.27,1,0,0,32182.97,0
607,Spain,Male,28,3,176181.84,2,1,1,178318.69,0
749,France,Male,48,6,0.0,2,0,0,57920.3,0
535,Spain,Male,23,10,54972.79,1,0,0,34298.52,0
642,France,Female,36,3,117299.98,3,1,0,123805.1,1
754,France,Male,44,0,142311.59,3,1,0,62360.6,1
635,France,Male,56,1,68439.81,1,1,0,87664.93,1
609,Spain,Male,34,4,139861.73,2,0,0,21611.77,0
850,Germany,Male,33,1,176156.77,1,1,0,98343.17,0
785,France,Male,39,0,0.0,1,0,1,67702.11,0
663,France,Male,44,7,123371.22,1,0,1,42266.2,1
558,France,Female,38,9,0.0,2,1,0,83399.81,1
457,Germany,Female,52,2,195252.43,1,1,1,156312.76,1
717,France,Female,31,5,105801.01,1,0,0,155093.53,0
770,France,Female,41,6,0.0,3,0,0,78492.34,0
688,Spain,Female,45,7,0.0,2,1,1,195104.82,0
487,Spain,Male,36,10,148433.94,2,1,1,33918.37,1
665,France,Male,49,9,0.0,1,1,1,172402.66,0
604,Germany,Male,42,3,0.0,1,1,1,196000.89,1
665,France,Male,49,10,0.0,2,1,0,118862.36,0
835,Germany,Male,42,0,141893.95,1,0,1,21425.41,0
725,France,Male,44,10,128128.87,1,1,1,184997.44,0
705,Germany,Male,33,1,219768.27,4,1,0,93022.59,1
646,Germany,Female,33,1,127622.93,1,1,1,42658.82,0
689,Spain,Female,53,1,0.0,1,0,1,179370.37,1
581,France,Female,47,1,0.0,2,1,1,91107.09,1
703,Spain,Male,29,5,166382.74,1,1,0,104883.56,0
632,France,Male,42,7,0.0,2,1,1,118493.9,0
572,France,Female,18,8,0.0,1,1,1,182254.17,0
727,Germany,Male,34,0,0.0,1,1,1,105712.42,0
438,France,Male,51,3,53221.62,1,1,0,178758.87,0
598,Spain,Male,39,1,82866.85,1,1,0,42343.7,1
708,Spain,Male,41,1,0.0,2,1,1,127173.95,0
766,France,Female,18,8,57930.74,3,1,0,109845.72,0
695,Spain,Female,36,7,79643.54,2,0,0,71757.28,0
586,France,Male,44,2,66305.77,1,1,0,50380.52,1
645,Germany,Male,45,3,0.0,3,0,0,23288.59,1
678,France,Female,51,10,52582.93,2,1,0,59729.63,0
798,Spain,Female,38,6,79896.24,1,1,1,139311.86,0
737,France,Female,38,2,58475.68,1,1,1,62859.68,1
738,France,Male,25,10,135502.37,1,1,0,148340.6,0
656,France,Female,38,2,0.0,1,1,1,176278.98,1
548,Spain,Female,26,3,167125.19,2,1,1,141918.01,1
516,Spain,Female,20,7,203108.58,1,0,0,162963.14,1
621,Germany,Male,28,5,0.0,3,1,0,118909.18,0
716,Spain,Female,57,0,0.0,1,1,1,189854.97,0
602,Spain,Male,37,8,143497.54,1,1,0,154958.91,0
704,Germany,Male,42,2,0.0,3,1,1,71308.42,1
575,France,Female,34,7,107610.37,2,1,0,147436.39,0
589,Spain,Female,20,3,103475.06,1,0,0,137653.08,0
784,Germany,Male,50,8,51873.16,1,0,0,152769.63,0
723,France,Male,18,9,0.0,2,0,0,70678.85,0
621,France,Male,34,8,103372.67,2,1,0,106820.53,0
571,Germany,Male,39,10,180374.99,2,1,0,177273.21,1
740,France,Female,43,5,152587.07,2,1,0,195385.71,1
733,Spain,Male,32,0,0.0,2,1,1,78388.13,0
711,France,Female,20,5,0.0,2,1,1,102473.71,0
633,France,Male,31,5,0.0,2,1,1,72856.7,0
546,Spain,Female,32,7,0.0,2,1,0,146408.44,1
649,France,Female,31,2,35400.85,1,0,1,17369.86,0
784,France,Female,51,7,0.0,2,0,0,191224.39,0
564,Germany,Female,27,4,0.0,1,0,1,114379.92,0
655,Spain,Female,43,7,163433.28,2,1,1,61480.18,0
805,France,Female,42,4,87907.77,1,0,1,17085.18,1
621,France,Female,51,4,0.0,2,1,1,116541.12,1
638,Spain,Male,39,2,87981.03,1,1,1,121373.59,0
522,Spain,Female,49,9,93603.56,2,1,0,142096.57,0
709,Germany,Female,38,0,0.0,1,1,1,109825.1,0
580,France,Male,45,2,107359.32,2,1,0,107983.87,0
502,France,Female,23,4,49055.72,1,0,1,67784.6,0
559,France,Male,18,1,138752.43,2,1,0,46867.12,0
670,France,Female,44,10,92203.85,2,0,0,57690.63,0
500,Germany,Female,45,3,206976.93,1,1,1,81203.8,0
518,France,Female,45,2,91678.71,2,0,1,156935.73,0
703,Germany,Female,34,2,127380.35,3,0,0,32468.34,1
643,Germany,Male,56,2,93920.28,2,1,0,132299.89,1
563,Germany,Male,35,7,20590.05,3,0,1,17212.64,0
619,France,Female,45,5,0.0,1,1,0,18186.57,0
815,Spain,Male,47,2,144177.5,3,1,1,61993.21,1
772,Germany,Female,59,9,0.0,2,1,1,77866.39,0
640,Germany,Male,37,7,89750.08,2,1,1,46078.75,1
728,France,Female,33,4,29248.68,2,1,0,178384.91,0
661,France,Female,24,5,138511.85,2,1,1,67896.15,0
481,Spain,Female,57,7,0.0,2,1,0,98988.13,0
464,France,Female,45,1,148857.36,2,1,1,198882.12,0
564,France,Male,45,8,90746.17,1,0,1,58240.81,0
500,France,Male,74,2,17412.51,2,0,1,127570.7,1
676,Germany,Male,44,0,0.0,1,1,1,151839.75,1
598,Spain,Female,26,5,104524.58,2,1,0,61498.05,0
690,France,Female,38,9,177367.56,2,1,0,20921.59,0
692,Spain,Female,29,8,106494.12,1,1,1,160359.19,1
716,France,Male,36,3,102635.72,1,1,1,64914.12,0
562,Germany,Female,36,4,0.0,1,0,1,71039.75,1
699,Germany,Male,34,6,73959.58,2,1,0,88801.31,0
559,France,Male,25,2,71452.94,1,1,0,17419.43,0
718,France,Male,58,9,0.0,1,1,0,171769.13,0
766,France,Female,43,3,57138.87,1,0,1,174033.21,0
719,Spain,Male,38,2,0.0,1,1,0,175558.97,0
633,Germany,Female,48,1,205857.19,1,1,0,44697.96,0
704,Spain,Female,45,7,159216.95,1,1,0,195480.28,1
504,Spain,Female,43,0,0.0,2,1,1,135682.31,0
483,France,Female,48,8,185687.22,2,1,1,122660.5,0
694,Spain,Male,41,10,62105.4,3,1,1,147230.48,0
774,France,Male,47,1,0.0,1,1,0,153631.58,1
533,France,Female,48,1,81053.87,1,1,1,89064.2,0
651,Spain,Female,42,10,209197.91,1,0,0,120945.28,1
692,Spain,Female,38,1,208968.96,2,0,0,121177.36,0
592,France,Female,57,4,13832.05,1,0,0,11483.87,1
618,Germany,Male,35,9,181288.79,1,1,1,11855.79,1
708,Germany,Male,44,1,90236.72,2,0,1,99433.86,0
660,Spain,Male,45,7,0.0,1,0,0,116109.44,0
661,Germany,Male,33,4,132281.18,2,1,0,144372.02,0
557,France,Female,31,4,52588.4,2,1,0,153015.83,0
647,France,Female,36,10,131103.85,2,1,1,121298.35,0
612,France,Female,35,7,0.0,1,0,0,64034.82,1
617,Germany,Female,24,3,114208.12,1,1,1,127668.86,0
599,Spain,Male,33,10,0.0,2,1,0,59362.15,0
647,France,Female,43,6,125098.93,1,0,1,165339.28,0
568,France,Male,54,1,86290.84,1,0,1,90430.04,0
651,France,Male,46,4,133153.38,1,1,0,180041.63,0
615,Germany,Male,18,2,31863.03,1,0,1,34307.96,0
561,Spain,Female,47,7,61379.24,1,1,0,144040.05,1
465,France,Female,34,9,82625.96,2,0,1,91570.85,0
740,France,Female,45,0,145916.21,2,1,0,34201.99,0
721,Germany,Female,40,8,126101.54,1,1,1,116212.97,0
574,France,Male,38,10,132828.66,2,1,1,50252.22,0
715,Spain,Male,39,10,103576.11,3,0,1,65547.76,1
553,France,Female,40,7,64018.82,1,1,0,96682.03,0
621,France,Male,55,3,182382.08,2,1,0,79228.45,1
600,Spain,Female,40,1,68714.74,1,1,1,83855.91,0
624,France,Male,52,10,126790.03,3,1,1,85435.39,1
711,France,Male,50,4,0.0,1,1,1,13224.88,0
612,France,Male,47,3,134275.64,1,1,0,79789.74,0
618,France,Male,20,8,73514.68,3,0,0,84765.88,1
721,France,Female,52,7,159739.21,2,1,0,122619.75,0
656,France,Female,35,8,176670.45,1,1,1,101374.38,1
594,France,Female,48,9,156548.8,2,1,1,42783.05,0
673,France,Female,29,9,0.0,2,1,1,121703.41,0
744,Germany,Male,27,1,82373.49,2,1,0,16665.77,1
750,Germany,Male,62,1,251749.81,1,1,0,73321.84,1
524,France,Male,29,2,53435.52,1,1,1,127821.74,0
529,France,Female,53,6,150823.94,3,1,0,128556.7,1
745,Germany,Male,41,6,122304.81,1,1,0,44278.04,0
623,Spain,Male,35,9,101748.05,1,1,1,74445.98,0
441,Spain,Female,40,9,0.0,1,1,1,96962.5,0
581,France,Female,26,8,78468.8,1,1,0,88171.45,0
608,France,Female,40,0,127206.89,2,1,0,140228.2,0
620,France,Male,28,7,0.0,1,0,1,150635.75,0
723,France,Female,36,9,244237.97,1,0,1,17763.57,0
562,Germany,Female,50,10,0.0,1,1,1,151600.81,1
739,France,Male,43,3,131825.9,1,1,0,176916.0,1
677,France,Female,24,8,134929.06,1,1,1,183642.12,0
528,France,Female,49,4,200655.96,1,1,1,20636.54,1
620,Germany,Male,40,1,54537.82,2,1,1,177905.95,0
697,France,Male,34,3,0.0,1,0,0,41104.09,1
654,Spain,Male,48,2,5828.78,1,1,1,74285.75,1
686,France,Female,38,10,134056.24,2,1,1,82515.79,0
594,Spain,Male,27,1,149105.04,2,1,1,66807.38,0
703,France,Female,60,1,53228.8,2,1,0,65995.69,1
612,Spain,Female,40,6,179624.16,4,1,0,42188.51,1
850,Spain,Male,39,6,67618.24,1,0,0,135213.0,0
525,Spain,Female,36,6,87191.66,1,1,1,120285.72,0
850,Spain,Female,53,1,0.0,1,1,1,126569.03,1
560,Spain,Female,34,5,187898.21,1,1,1,109057.64,0
771,Germany,Male,23,10,60373.71,3,0,0,51958.77,1
729,Spain,Male,33,0,120144.85,2,1,0,121398.65,0
564,France,Female,55,8,145291.56,2,1,1,134208.11,0
707,Germany,Male,49,1,0.0,4,0,0,19865.44,1
603,Germany,Male,37,2,136480.85,2,0,1,197670.51,0
676,Spain,Female,55,9,0.0,1,1,0,120159.17,1
664,France,Male,48,3,76154.42,2,0,1,131283.16,0
617,France,Female,37,5,192764.55,1,1,1,118239.54,0
609,Germany,Male,38,4,99220.23,1,1,1,141236.76,1
682,France,Male,44,6,92319.89,2,1,1,134800.45,0
564,France,Male,31,4,175076.53,3,1,1,161839.04,1
568,France,Male,40,4,0.0,2,0,0,40693.85,0
741,France,Male,43,8,121654.47,1,1,0,41107.41,1
691,France,Male,21,6,67412.6,2,1,0,51720.08,0
526,France,Male,38,6,236000.26,1,1,1,193056.11,0
555,France,Female,37,8,0.0,2,1,0,77836.75,0
447,France,Female,51,4,99267.47,1,0,0,70073.16,1
736,France,Male,20,9,0.0,1,0,0,53568.75,0
715,Germany,Male,36,7,105270.39,1,1,0,101467.04,1
547,France,Male,35,9,0.0,2,1,0,182010.09,0
712,Spain,Male,51,5,111220.84,4,1,0,138094.01,1
839,Spain,Female,40,6,102888.73,1,0,1,45674.6,0
504,France,Female,60,1,25925.29,1,1,1,169096.94,1
592,France,Male,47,1,118677.21,1,1,1,189645.89,0
502,Germany,Female,35,1,0.0,2,1,0,145480.28,1
740,Spain,Female,43,6,121234.42,2,0,0,122788.49,0
641,Germany,Male,36,3,100969.08,2,1,0,137636.58,0
612,Spain,Female,49,3,86262.35,1,0,1,149835.6,0
672,Germany,Male,25,6,150495.32,1,1,0,173286.35,0
597,Germany,Female,31,4,132722.99,3,1,0,135147.43,0
612,France,Female,45,1,0.0,2,1,0,110980.37,1
676,Germany,Male,53,6,130725.95,1,0,0,44665.47,0
592,France,Female,18,6,94724.46,1,1,1,81102.82,0
605,Germany,Female,55,1,137071.96,1,0,0,26072.83,1
635,Spain,Male,38,2,2008.12,1,1,0,148420.16,0
659,France,Male,19,2,214391.35,1,0,0,198535.62,0
707,Germany,Female,18,7,119267.77,2,1,0,28233.42,0
705,France,Male,23,2,218591.71,1,1,0,93637.21,1
508,Germany,Male,40,0,59794.06,1,1,1,143014.46,1
784,France,Female,39,2,46882.44,2,0,1,15685.16,0
656,Spain,Male,47,5,124023.33,1,1,1,93518.58,1
618,France,Female,34,8,123851.81,1,1,1,161007.62,0
564,Spain,Female,28,0,122588.73,2,1,0,65709.53,0
839,Spain,Female,35,9,114662.96,1,0,0,135343.4,0
850,Germany,Female,40,3,72337.91,2,1,1,125394.75,0
827,Spain,Female,43,3,27761.5,1,1,0,143005.86,0
662,Spain,Female,31,0,119723.83,1,1,0,55629.97,0
683,Spain,Female,50,3,38305.22,1,1,1,41983.51,0
792,France,Male,33,5,33395.67,2,1,0,13213.1,0
627,Germany,Female,30,6,0.0,1,0,0,101266.38,1
701,France,Male,34,8,0.0,2,0,0,45499.25,0
672,Germany,Female,52,5,208363.48,1,1,0,133729.36,1
832,France,Male,39,1,155921.48,2,1,1,114343.82,1
786,Germany,Male,32,4,179527.31,1,1,1,168405.75,1
637,Germany,Male,50,8,138990.41,1,0,0,162368.07,0
795,France,Female,64,7,124076.39,2,0,0,78630.22,1
650,Germany,Male,42,6,235301.1,1,1,1,66290.9,0
598,Spain,Male,54,5,36211.51,1,0,0,25612.76,0
623,Spain,Female,51,5,83512.02,2,1,0,153710.7,1
664,France,Female,33,10,0.0,2,0,1,104278.88,0
575,Germany,Female,40,6,151464.97,2,0,1,73896.45,1
601,Spain,Male,26,6,0.0,1,1,1,143676.49,0
513,France,Female,38,3,144698.34,1,0,1,62079.93,1
572,France,Female,33,5,0.0,1,1,1,100826.29,0
672,France,Male,36,7,0.0,1,1,0,92832.76,0
749,Germany,Female,32,9,0.0,1,0,0,61343.81,0
737,France,Male,37,8,184992.62,1,1,0,160183.64,0
691,Spain,Male,46,7,102441.11,1,1,1,144393.87,0
505,Germany,Female,39,8,132568.21,2,1,1,108711.25,0
568,France,Male,19,0,66699.44,1,1,0,141336.64,0
631,Spain,Male,32,2,54830.66,1,1,0,26985.77,0
741,Spain,Male,23,2,196771.1,1,0,0,91667.56,0
597,France,Female,43,7,62769.82,1,0,1,124028.8,0
534,France,Male,46,8,138348.23,2,0,0,84825.36,0
788,France,Male,43,1,0.0,1,1,0,145683.53,0
580,France,Female,31,2,166099.01,1,0,1,109221.3,0
543,France,Female,43,5,0.0,2,1,1,82747.65,1
672,Spain,Male,35,10,0.0,1,0,1,88916.44,1
645,France,Female,27,0,101982.34,1,1,0,146086.27,0
602,France,Male,48,9,0.0,2,1,0,22503.55,0
650,Germany,Female,49,2,0.0,2,1,1,169248.94,1
562,Germany,Female,50,2,158912.08,3,1,1,20897.97,1
601,Spain,Female,33,6,0.0,2,0,1,35208.08,0
647,Spain,Male,53,8,98347.98,2,1,0,163940.06,1
457,France,Female,35,9,45766.41,1,0,1,81147.39,1
741,France,Female,47,0,49435.68,2,1,1,97290.82,1
520,Spain,Male,34,0,144157.57,1,1,0,80824.03,0
561,Germany,Male,38,5,0.0,2,1,0,27678.81,0
745,Spain,Female,18,6,98855.97,3,0,1,125625.99,0
704,France,Male,37,2,244415.75,1,1,0,140923.44,0
658,Spain,Female,41,7,128897.16,2,1,1,46087.41,0
488,Germany,Male,35,2,143596.96,2,0,1,152899.07,0
592,France,Female,59,10,49826.17,1,0,0,28962.45,0
629,Germany,Female,27,1,41180.31,2,0,0,157215.62,0
636,Germany,Male,34,7,146382.75,2,1,1,143253.86,0
758,France,Male,30,5,0.0,1,1,1,183302.15,0
839,France,Male,34,1,166028.32,2,1,1,164564.54,0
708,Spain,Female,51,6,112442.93,1,1,0,170454.15,1
599,France,Female,56,1,260000.0,1,1,1,191964.31,0
765,France,Male,32,5,80439.37,2,0,1,170423.43,0
594,France,Female,32,6,0.0,2,0,1,161317.32,0
401,France,Female,27,0,63704.43,2,1,0,47263.98,0
531,Spain,Male,54,2,163868.16,2,0,0,153464.11,0
425,Spain,Female,52,3,133106.64,2,1,1,130214.23,0
614,France,Male,39,10,0.0,1,1,0,192697.03,0
633,Spain,Female,25,2,93701.19,2,0,0,146806.45,1
499,Spain,Male,26,10,0.0,2,1,1,59319.6,0
569,France,Male,42,5,175288.87,1,1,0,41184.09,0
514,Spain,Male,46,10,36651.43,1,0,0,63457.99,0
638,France,Male,18,9,85969.58,2,1,0,101226.7,0
569,Spain,Male,36,3,0.0,4,1,0,133976.56,1
746,Germany,Female,58,6,101506.75,4,1,1,50867.52,0
666,Germany,Male,38,7,119737.97,1,1,1,54235.89,0
802,France,Female,56,0,163600.46,2,1,1,67354.3,0
607,Spain,Male,47,7,40927.59,1,1,0,163383.75,0
850,France,Male,28,5,61335.73,2,1,0,79429.86,0
650,France,Female,37,0,0.0,2,0,1,24892.35,0
600,France,Male,39,9,172840.43,3,0,1,113556.7,0
850,Spain,Male,30,2,163227.8,4,1,1,11130.29,0
476,France,Female,29,9,0.0,1,0,0,138003.77,0
597,Spain,Male,57,2,102963.68,3,1,1,169994.34,1
492,Germany,Female,29,5,168937.63,2,1,0,41612.59,1
475,France,Male,52,4,102262.45,1,1,1,170473.98,1
454,France,Female,35,9,140254.34,1,1,1,139014.5,1
709,France,Male,40,10,157626.03,2,0,1,28725.03,0
524,Germany,Male,46,8,198434.64,1,0,1,53299.92,1
626,Spain,Female,33,9,107271.12,1,0,1,53194.42,1
735,France,Female,46,8,91344.27,2,1,0,49089.28,1
694,Spain,Female,18,3,0.0,1,0,0,73564.6,1
689,France,Male,45,10,181536.33,1,1,1,182457.94,0
765,Spain,Male,18,5,81944.53,2,1,0,52586.75,0
803,Spain,Female,38,3,0.0,1,0,1,186073.3,0
531,Spain,Male,49,2,173589.79,2,0,0,114435.09,1
696,Germany,Male,47,7,0.0,1,0,0,108236.89,1
624,Spain,Male,26,3,22174.33,2,0,0,138018.35,0
636,France,Female,27,7,96248.65,1,1,0,163078.6,1
506,France,Male,32,0,110326.87,2,0,1,191950.85,0
599,France,Male,42,6,49882.49,2,0,1,10511.03,0
610,Germany,Male,18,7,116536.95,2,1,1,85644.96,0
786,Germany,Male,40,5,118856.44,2,1,1,44015.84,0
540,Germany,Male,43,7,80019.83,2,1,1,38832.5,0
423,Spain,Male,37,10,0.0,1,1,1,37934.86,0
649,France,Male,46,9,127347.58,2,1,0,144857.6,0
531,Germany,Male,42,4,163681.43,2,0,0,19716.77,1
637,France,Female,34,9,29276.92,2,0,1,168977.7,0
713,France,Female,19,10,28828.23,1,0,0,152987.74,0
641,Germany,Male,41,1,128923.26,2,1,0,87761.37,0
609,Spain,Male,30,3,201452.6,1,1,1,90837.34,0
635,Germany,Male,34,8,52483.34,2,1,0,138888.86,1
731,France,Male,45,5,112455.59,2,1,0,12046.53,0
540,Germany,Male,56,1,40775.0,1,1,0,83555.44,1
719,France,Female,40,5,67631.62,2,0,0,44225.86,0
555,Spain,Male,46,4,115041.79,1,0,1,44347.88,0
707,Germany,Female,24,8,79384.22,2,0,0,114612.13,0
503,France,Male,43,5,0.0,2,1,0,56726.44,1
702,France,Male,39,1,35948.28,1,1,0,81284.92,1
640,France,Male,54,0,0.0,1,1,1,146290.0,0
659,Spain,Male,34,3,129782.36,2,1,0,127927.7,1
741,France,Male,37,1,136074.21,2,0,0,72704.33,0
572,Spain,Male,52,9,135812.78,1,1,0,19424.51,0
648,Germany,Male,39,2,57722.86,1,1,1,15066.59,0
679,Germany,Female,28,6,157309.47,1,0,1,102633.76,0
622,France,Female,68,1,141752.49,2,1,1,90090.9,1
718,Spain,Male,28,4,105379.31,1,1,0,161324.73,0
681,France,Female,39,10,96844.91,2,0,1,25584.77,0
595,Germany,Male,44,7,0.0,2,0,0,171486.41,0
770,Germany,Male,43,3,114992.42,2,0,0,50381.14,0
